name;height_m;in_service;type;p_i__barg;T_i;T_source;bus_ID;slack_bus;m_dot_i__kg_per_s;demand_m3_per_a;sink_name;sink_scaling;sink_type;sink_profile_id;x_coord;y_coord;source_bus;T_i_source
"K1163";149.75;"true";"junction";1;283.15;283.15;80;0;0;0;NaN;0;NaN;NaN;3417546.264;5369041.035;0;0
"K1165";150.25;"true";"junction";1;283.15;283.15;81;0;0;0;NaN;0;NaN;NaN;3417791.598;5369033.998;0;0
"K1166";150.17;"true";"junction";1;283.15;283.15;82;0;0;0;NaN;0;NaN;NaN;3417790.923;5369020.738;0;0
"K1168";150.04;"true";"junction";1;283.15;283.15;83;0;0;0;NaN;0;NaN;NaN;3417791.046;5368963.928;0;0
"K1169";150.11;"true";"junction";1;283.15;283.15;84;0;0;0;NaN;0;NaN;NaN;3417790.335;5369011.23;0;0
"K1171";150.93;"true";"junction";1;283.15;283.15;85;0;0;0;NaN;0;NaN;NaN;3418151.055;5369051.139;0;0
"K1172";151.12;"true";"junction";1;283.15;283.15;86;0;0;0;NaN;0;NaN;NaN;3418233.457;5369063.86;0;0
"K1175";150.72;"true";"junction";1;283.15;283.15;87;0;0;0;NaN;0;NaN;NaN;3418328.56;5369068.051;0;0
"K1176";150.69;"true";"junction";1;283.15;283.15;88;0;0;0;NaN;0;NaN;NaN;3418360.928;5369063.41;0;0
"K1184";150.51;"true";"junction";1;283.15;283.15;89;0;0;0;NaN;0;NaN;NaN;3418398.226;5369054.891;0;0
"K1178";150.58;"true";"junction";1;283.15;283.15;90;0;0;0;NaN;0;NaN;NaN;3418433.015;5369040.805;0;0
"K1179";150.62;"true";"junction";1;283.15;283.15;91;0;0;0;NaN;0;NaN;NaN;3418485.565;5369023.352;0;0
"K1181";150.68;"true";"junction";1;283.15;283.15;92;0;0;0;NaN;0;NaN;NaN;3418344.781;5368989.905;0;0
"K1183";150.57;"true";"junction";1;283.15;283.15;93;0;0;0;NaN;0;NaN;NaN;3418380.798;5369029.037;0;0
"K1185";150.52;"true";"junction";1;283.15;283.15;94;0;0;0;NaN;0;NaN;NaN;3418424.542;5369087.225;0;0
"K1186";150.45;"true";"junction";1;283.15;283.15;95;0;0;0;NaN;0;NaN;NaN;3418434.677;5369111.154;0;0
"K1189";150.38;"true";"junction";1;283.15;283.15;96;0;0;0;NaN;0;NaN;NaN;3418494.675;5369166.18;0;0
"K1190";150.56;"true";"junction";1;283.15;283.15;97;0;0;0;NaN;0;NaN;NaN;3418535.329;5369172.904;0;0
"K1194";151.07;"true";"junction";1;283.15;283.15;98;0;0;0;NaN;0;NaN;NaN;3418580.067;5369171.83;0;0
"K1195";151.89;"true";"junction";1;283.15;283.15;99;0;0;0;NaN;0;NaN;NaN;3418917.076;5369200.209;0;0
"K1391";149.81;"true";"junction";1;283.15;283.15;100;0;0;0;NaN;0;NaN;NaN;3418061.311;5369247.52;0;0
"K1198";150.13;"true";"junction";1;283.15;283.15;101;0;0;0;NaN;0;NaN;NaN;3418033.359;5369248.785;0;0
"K1199";150;"true";"junction";1;283.15;283.15;102;0;0;0;NaN;0;NaN;NaN;3417982.197;5369256.835;0;0
"K1200";149.8;"true";"junction";1;283.15;283.15;103;0;0;0;NaN;0;NaN;NaN;3417955.743;5369264.957;0;0
"K1201";149.65;"true";"junction";1;283.15;283.15;104;0;0;0;NaN;0;NaN;NaN;3417920.012;5369276.224;0;0
"K1202";149.54;"true";"junction";1;283.15;283.15;105;0;0;0;NaN;0;NaN;NaN;3417872.137;5369285.948;0;0
"K1203";149.56;"true";"junction";1;283.15;283.15;106;0;0;0;NaN;0;NaN;NaN;3417876.159;5369306.096;0;0
"K1204";149.9;"true";"junction";1;283.15;283.15;107;0;0;0;NaN;0;NaN;NaN;3417876.435;5369340.931;0;0
"K1205";150.08;"true";"junction";1;283.15;283.15;108;0;0;0;NaN;0;NaN;NaN;3417872.665;5369370.221;0;0
"K1206";150.36;"true";"junction";1;283.15;283.15;109;0;0;0;NaN;0;NaN;NaN;3417867.03;5369399.538;0;0
"K1208";150.48;"true";"junction";1;283.15;283.15;110;0;0;0;NaN;0;NaN;NaN;3417859.763;5369444.786;0;0
"K1209";150.53;"true";"junction";1;283.15;283.15;111;0;0;0;NaN;0;NaN;NaN;3417855.949;5369471.067;0;0
"K1211";149.56;"true";"junction";1;283.15;283.15;112;0;0;0;NaN;0;NaN;NaN;3417577.7;5369303.73;0;0
"K1213";149.41;"true";"junction";1;283.15;283.15;113;0;0;0;NaN;0;NaN;NaN;3417654.148;5369303.476;0;0
"K1214";149.47;"true";"junction";1;283.15;283.15;114;0;0;0;NaN;0;NaN;NaN;3417686.351;5369306.017;0;0
"K1215";149.54;"true";"junction";1;283.15;283.15;115;0;0;0;NaN;0;NaN;NaN;3417726.451;5369306.724;0;0
"K1217";149.78;"true";"junction";1;283.15;283.15;116;0;0;0;NaN;0;NaN;NaN;3417798.288;5369309.978;0;0
"K1218";149.71;"true";"junction";1;283.15;283.15;117;0;0;0;NaN;0;NaN;NaN;3417826.265;5369310.432;0;0
"K1219";149.43;"true";"junction";1;283.15;283.15;118;0;0;0;NaN;0;NaN;NaN;3417854.21;5369308.736;0;0
"K1220";149.98;"true";"junction";1;283.15;283.15;119;0;0;0;NaN;0;NaN;NaN;3417562.243;5369346.199;0;0
"K1222";148.81;"true";"junction";1;283.15;283.15;120;0;0;0;NaN;0;NaN;NaN;3417112.978;5369438.911;0;0
"K1223";148.77;"true";"junction";1;283.15;283.15;121;0;0;0;NaN;0;NaN;NaN;3417124.648;5369504.115;0;0
"K1224";149;"true";"junction";1;283.15;283.15;122;0;0;0;NaN;0;NaN;NaN;3417139.57;5369566.231;0;0
"K1225";149.17;"true";"junction";1;283.15;283.15;123;0;0;0;NaN;0;NaN;NaN;3417149.191;5369604.099;0;0
"K1226";148.82;"true";"junction";1;283.15;283.15;124;0;0;0;NaN;0;NaN;NaN;3417079.842;5369452.956;0;0
